,tag_name,followed_by,comment,tag_count,like
0,2021,774304,626,0,50311
1,2021,68438,7,11,1957
2,2021,3122,102,23,595
3,2021,250500,123573,5,8290
4,2021,3578,26,4,365
5,2021,2232,29,20,239
6,2021,1607,18,22,547
7,2021,18025,32,0,400
8,2021,2476,94,13,521
9,Afghanistan,37755,14,26,806
10,Afghanistan,126319,38,29,2527
11,Afghanistan,49102,100,30,3378
12,Afghanistan,470981,20,30,2622
13,Afghanistan,291348,87,30,5547
14,Afghanistan,37757,3,26,884
15,Afghanistan,249229,109,30,5635
16,Afghanistan,37759,58,26,6259
17,Afghanistan,45293,8,8,646
18,Albania,4470,18,30,971
19,Albania,1879,12,28,2548
20,Albania,130642,23,29,1894
21,Albania,2674,1,28,189
22,Albania,13679,21,32,277
23,Albania,2186,8,26,285
24,Albania,24808,187,30,2659
25,Albania,8466,17,21,947
26,Albania,10342,0,24,631
27,Algeria,19684,33,33,467
28,Algeria,1777,4,0,180
29,Algeria,630561,173,29,5698
30,Algeria,2132,23,31,618
31,Algeria,487423,206,30,6392
32,Algeria,940123,68,30,2782
33,Algeria,33517,6,30,242
34,Algeria,370824,181,30,4480
35,amazon,139995,165,28,6486
36,amazon,45179,89,29,1443
37,amazon,23356,23,0,336
38,amazon,898,17,15,305
39,amazon,277736,88,30,5073
40,amazon,47225,47,1,1520
41,amazon,4753,58,18,2188
42,amazon,89448,53,4,8359
43,amazon,6251,4,0,227
44,amazon,139996,165,28,6486
45,amazon,45179,89,29,1443
46,amazon,23356,23,0,336
47,amazon,898,17,15,305
48,amazon,277737,88,30,5073
49,amazon,47225,47,1,1520
50,amazon,4753,58,18,2189
51,amazon,89448,53,4,8359
52,amazon,6251,4,0,227
53,Angola,157281,45,26,5458
54,Angola,64897,148,30,1631
55,Angola,10206,8,24,501
56,Angola,500819,36,0,5111
57,Angola,157281,31,26,2621
58,Angola,1158,15,0,119
59,Angola,500819,68,0,6573
60,Angola,157281,31,26,2103
61,Angola,2669,13,3,324
62,animal,136553,63,31,2121
63,animal,3345,8,30,285
64,animal,1912,13,30,333
65,animal,568183,39,0,7166
66,animal,30872,15,18,2685
67,animal,353447,23,30,3728
68,animal,326048,19,1,4068
69,animal,2516,9,25,202
70,animal,352201,75,30,9540
71,arab,29124,56,0,1460
72,arab,331906,37,29,8535
73,arab,14188,23,0,129
74,arab,97207,22,1,1845
75,arab,10168,675,0,390
76,arab,940120,68,30,2778
77,arab,548040,53,1,3499
78,Argentina,31243,30,22,2422
79,Argentina,1314,5,23,356
80,Argentina,1432,3,6,171
81,Argentina,50252,89,4,3112
82,Argentina,1156,11,7,186
83,Argentina,189200,39,14,5682
84,Argentina,50751,10,15,1223
85,Argentina,2968,10,26,463
86,artwork,42251,18,30,1065
87,artwork,3391,4,29,194
88,artwork,10889,94,0,6540
89,artwork,16825,33,21,1137
90,artwork,18376,17,17,955
91,artwork,9598,25,30,679
92,artwork,133780,68,14,9813
93,artwork,13354,31,30,3142
94,artwork,2842,7,30,451
95,asia,1029983,163,22,25306
96,asia,72380,36,25,3361
97,asia,132737,24,19,3975
98,asia,7997,122,16,450
99,asia,2405,4,0,209
100,asia,1029983,210,25,13442
101,asia,125045,16,2,4165
102,asia,3708,38,16,730
103,asia,1923,19,20,209
104,Australia,5716,13,20,587
105,Australia,5729,54,31,367
106,Australia,1609,31,0,447
107,Australia,57751,42,24,4681
108,Australia,229699,27,1,2149
109,Australia,1228227,188,30,37808
110,Australia,7685,11,3,855
111,Australia,3210,6,28,259
112,Australia,1123,8,14,926
113,Austria,4921,40,21,2015
114,Austria,1436,13,25,214
115,Austria,7096,28,7,469
116,Austria,605,1,30,146
117,Austria,3305,60,22,225
118,Austria,4709,25,26,716
119,Austria,14853,101,0,1380
120,Austria,6651,34,29,293
121,Austria,398889,49,30,9767
122,Belgium,47938,10,15,1618
123,Belgium,2654,42,26,408
124,Belgium,1119,4,16,265
125,Belgium,1557,27,23,320
126,Belgium,9304,34,16,440
127,Belgium,9304,45,17,501
128,Belgium,47837,24,0,1363
129,Belgium,1801,23,7,314
130,Belgium,1228224,188,30,37810
131,bitcoin,329068,579,29,5438
132,bitcoin,123708,241,28,1848
133,bitcoin,54431,273,31,3708
134,bitcoin,54431,224,31,3941
135,bitcoin,54431,222,31,4387
136,bitcoin,50804,303,27,650
137,bitcoin,173547,149,1,1646
138,bitcoin,6165,156,4,491
139,bitcoin,600026,474,30,3260
140,blockchain,173547,312,2,5710
141,blockchain,173547,282,1,4178
142,blockchain,123708,35,19,1451
143,blockchain,173547,149,1,1646
144,blockchain,2665,42,8,508
145,blockchain,203987,248,14,2850
146,blockchain,950933,163,12,5285
147,blockchain,950933,106,9,4580
148,blockchain,123708,57,19,1255
149,Brazil,303765,68,27,13665
150,Brazil,8664,20,19,894
151,Brazil,59702,104,0,13500
152,Brazil,12336,44,8,723
153,Brazil,1192,27,0,314
154,Brazil,101049,117,18,9002
155,Brazil,2611,9,12,243
156,Brazil,13402,70,6,1218
157,Brazil,128171,9,20,741
158,buy,25226,32,30,557
159,buy,1329,14,26,126
160,buy,25226,17,30,301
161,buy,2721,9,11,200
162,buy,8347,8,29,205
163,buy,25226,8,30,341
164,buy,25226,7,30,308
165,buy,2146,6,12,153
166,buy,2449,34,26,266
167,Cameroon,1048,0,13,1100
168,Cameroon,15439,23,25,1202
169,Cameroon,77317,47,25,2240
170,Cameroon,3511,14,9,439
171,Cameroon,46796,26,25,1308
172,Cameroon,3167,15,1,310
173,Cameroon,3655,27,9,265
174,Cameroon,3655,7,10,242
175,Cameroon,36973,79,8,1326
176,canada,19833,88,26,6297
177,canada,1550,61,7,271
178,canada,6240,49,27,864
179,canada,1608,31,0,447
180,canada,383938,189,0,13658
181,canada,3527,17,6,267
182,canada,214869,70,29,7681
183,canada,17927,92,29,2072
184,canada,177476,141,32,7302
185,cat,193843,35,30,4504
186,cat,26215,92,29,592
187,cat,1027,8,19,226
188,cat,702009,221,0,15194
189,cat,591078,19,0,2097
190,cat,11983373,178,1,40387
191,cat,226531,23,0,8823
192,cat,373569,33,25,2910
193,cat,51837,19,30,3112
194,ceo,801,58,5,264
195,ceo,9174,114,0,446
196,ceo,529408,231,30,12701
197,ceo,123511,73,28,1098
198,ceo,626536,259,27,18855
199,ceo,3066,9,13,121
200,ceo,529408,90,27,5485
201,ceo,77075,27,1,2424
202,ceo,9439,22,30,233
203,chef,224898,31,19,3020
204,chef,23134,37,0,3075
205,chef,55564,82,30,6095
206,chef,5049,11,18,209
207,chef,11096,15,0,243
208,chef,34082,60,25,1271
209,chef,2179,8,26,172
210,chef,152709,14,1,1971
211,chef,15141,20,30,515
212,chigago,12091,11,5,397
213,chigago,8101,13,13,182
214,chigago,2775,2,14,185
215,chigago,4826,17,28,131
216,chigago,1527,5,7,145
217,chigago,7204,8,11,194
218,chigago,527,7,25,113
219,chigago,3506,16,5,196
220,chigago,1346,3,14,154
221,Chile,4311,12,24,467
222,Chile,14118,11,0,281
223,Chile,1069,18,26,260
224,Chile,5340,18,25,307
225,Chile,3911,9,27,325
226,Chile,3384,3,30,433
227,Chile,1314,5,23,356
228,Chile,3573,36,30,941
229,Chile,4441,9,21,270
230,china,249115,66,30,10533
231,china,780934,32,23,7054
232,china,1755,42,30,348
233,china,192335,65,0,7279
234,china,1755,27,30,293
235,china,2518,20,0,662
236,china,1287,35,30,1238
237,china,1755,14,30,313
238,china,24739,64,0,2254
239,club,2379,3,31,538
240,club,38273,32,14,3730
241,club,525,7,19,170
242,club,3495,7,0,171
243,club,1399,38,4,253
244,club,41305,34,0,1068
245,club,5128,9,17,365
246,club,7224,104,24,2798
247,club,2052,5,30,202
248,collection,2224,20,2,241
249,collection,1617,42,18,248
250,collection,1759,13,12,558
251,collection,88296,3,11,249
252,collection,1919,4,29,148
253,collection,5729,8,5,225
254,collection,10097,11,19,2360
255,collection,27057,2,11,507
256,collection,1108,9,25,159
257,Computer,211094,35,23,5285
258,Computer,7717,46,22,307
259,Computer,211094,9,23,2809
260,Computer,134909,68,30,6682
261,Computer,211920,37,28,8376
262,Computer,288516,97,22,4797
263,Computer,41037,12,0,2141
264,Computer,196131,27,30,4577
265,Computer,1820,5,26,231
266,dairyfree,175384,89,30,1499
267,dairyfree,162136,92,0,3144
268,dairyfree,57794,56,0,2051
269,dairyfree,4509,10,25,151
270,dairyfree,359918,90,23,6341
271,dairyfree,3009,22,29,161
272,dairyfree,2279,12,0,168
273,dairyfree,36614,69,0,1786
274,dairyfree,2234,8,20,132
275,dog,5575,18,32,473
276,dog,160449,21,28,1387
277,dog,588118,24,30,3578
278,dog,9672,81,26,413
279,dog,173644,64,2,2625
280,dog,8394,13,30,248
281,dog,29182,26,0,1776
282,dog,5864,17,4,198
283,dog,7999,12,29,311
284,Ecuador,10387,32,18,1576
285,Ecuador,10849,42,30,1320
286,Ecuador,2630,9,30,173
287,Ecuador,4121,5,0,501
288,Ecuador,5103,3,30,316
289,Ecuador,860,7,28,284
290,Ecuador,5141,12,26,399
291,Ecuador,593800,97,30,8232
292,Ecuador,21879,14,30,530
293,Egypt,2378143,136,4,32318
294,Egypt,1209,12,0,155
295,Egypt,29425,15,21,662
296,Egypt,839,14,13,237
297,Egypt,14946,32,6,815
298,Egypt,4025,6,5,186
299,Egypt,5654,28,9,1655
300,Egypt,11666,25,21,682
301,Egypt,14414,11,14,736
302,europe,1784,6,30,537
303,europe,442723,179,30,22821
304,europe,4538,15,2,919
305,europe,1142,37,22,244
306,europe,1839,5,26,411
307,europe,1919,17,14,322
308,europe,3251,21,16,301
309,europe,440948,89,29,13032
310,europe,18397,21,12,1812
311,films,45902,30,17,2401
312,films,615537,883,1,30542
313,films,83883,42,0,4638
314,films,33486,7,17,582
315,films,25001,42,28,2668
316,films,25001,5,18,694
317,films,51429,11,1,1331
318,films,51429,9,0,2241
319,fish,3513,28,12,370
320,fish,12357,16,1,3546
321,fish,1090600,20,17,6615
322,fish,3892,32,22,387
323,fish,1259,7,29,392
324,fish,1442,7,7,301
325,fish,91105,63,23,4821
326,fish,2563,28,26,693
